0x0000|－－－－
0x0001|フタバタウン
0x0002|マサゴタウン
0x0003|ソノオタウン
0x0004|ズイタウン
0x0005|カンナギタウン
0x0006|コトブキシティ
0x0007|ミオシティ
0x0008|クロガネシティ
0x0009|ハクタイシティ
0x000a|ヨスガシティ
0x000b|ノモセシティ
0x000c|トバリシティ
0x000d|ナギサシティ
0x000e|キッサキシティ
0x000f|ポケモンリ－グ
0x0010|２０１ばんどうろ
0x0011|２０２ばんどうろ
0x0012|２０３ばんどうろ
0x0013|２０４ばんどうろ
0x0014|２０５ばんどうろ
0x0015|２０６ばんどうろ
0x0016|２０７ばんどうろ
0x0017|２０８ばんどうろ
0x0018|２０９ばんどうろ
0x0019|２１０ばんどうろ
0x001a|２１１ばんどうろ
0x001b|２１２ばんどうろ
0x001c|２１３ばんどうろ
0x001d|２１４ばんどうろ
0x001e|２１５ばんどうろ
0x001f|２１６ばんどうろ
0x0020|２１７ばんどうろ
0x0021|２１８ばんどうろ
0x0022|２１９ばんどうろ
0x0023|２２０ばんすいどう
0x0024|２２１ばんどうろ
0x0025|２２２ばんどうろ
0x0026|２２３ばんすいどう
0x0027|２２４ばんどうろ
0x0028|２２５ばんどうろ
0x0029|２２６ばんすいどう
0x002a|２２７ばんどうろ
0x002b|２２８ばんどうろ
0x002c|２２９ばんどうろ
0x002d|２３０ばんすいどう
0x002e|クロガネたんこう
0x002f|たにまのはつでんしょ
0x0030|ハクタイのもり
0x0031|タタラせいてつじょ
0x0032|テンガンざん
0x0033|やりのはしら
0x0034|だいしつげん
0x0035|ズイのいせき
0x0036|チャンピオンロ－ド
0x0037|パルパ－ク
0x0038|ふれあいひろば
0x0039|あれたぬけみち
0x003a|ソノオのはなばたけ
0x003b|クロガネゲ－ト
0x003c|まんげつじま
0x003d|おくりのいずみ
0x003e|もどりのどうくつ
0x003f|はなのらくえん
0x0040|キッサキしんでん
0x0041|まよいのどうくつ
0x0042|いせきマニアのあな
0x0043|マニアトンネル
0x0044|じまんのうらにわ
0x0045|こうてつじま
0x0046|もりのようかん
0x0047|ギンガだんアジト
0x0048|シンジこのほとり
0x0049|リッシこのほとり
0x004a|エイチこのほとり
0x004b|かくれいずみへのみち
0x004c|シンジこ
0x004d|リッシこ
0x004e|エイチこ
0x004f|しんげつじま
0x0050|バトルタワ－
0x0051|ファイトエリア
0x0052|サバイバルエリア
0x0053|リゾ－トエリア
