0x0000|----------
0x0002|神秘的地方
0x0004|遥远的地方
0x0006|朝香镇
0x0008|1号道路
0x0009|卡洛斯
0x000a|美川镇
0x000c|2号道路
0x000d|前进通道
0x000e|白檀森林
0x0010|3号道路
0x0011|开展通道
0x0012|白檀市
0x0014|4号道路
0x0015|花坛街道
0x0016|密阿雷市
0x0018|密阿雷道馆
0x001a|弗拉达利实验室
0x001c|5号道路
0x001d|斜坡通道
0x001e|古木镇
0x0020|休波努城堡
0x0022|6号道路
0x0023|宫殿林荫道
0x0024|香水宫殿
0x0026|7号道路
0x0027|河川直路
0x0028|遥香市
0x002a|8号道路
0x002b|城墙海岸
0x002c|古香镇
0x002e|9号道路
0x002f|刺刺山道
0x0030|对战古堡
0x0032|10号道路
0x0033|石柱之路
0x0034|石林镇
0x0036|11号道路
0x0037|明镜通道
0x0038|映身洞窟
0x003a|娑罗市
0x003c|精通塔
0x003e|12号道路
0x003f|牧草通道
0x0040|海翼市
0x0042|13号道路
0x0043|密阿雷荒野
0x0044|14号道路
0x0045|香薰林道
0x0046|香薰市
0x0048|宝贝球工厂
0x004a|15号道路
0x004b|褐棕通道
0x004c|雪风镇
0x004e|16号道路
0x004f|忧郁通道
0x0050|[~ 80]
0x0051|[~ 81]
0x0052|冰霜洞穴
0x0054|17号道路
0x0055|象牙猪路
0x0056|百刻市
0x0058|18号道路
0x0059|狭谷通道
0x005a|水涟镇
0x005c|19号道路
0x005d|巨谷通道
0x005e|映雪市
0x0060|20号道路
0x0061|迷幻森林
0x0062|神奇宝贝村庄
0x0064|21号道路
0x0065|最后通道
0x0066|22号道路
0x0067|绕行之路
0x0068|冠军之路
0x006a|宝可梦乐园
0x006c|奇楠市
0x006e|对战宅第
0x0070|蔚蓝湾
0x0072|雪风入口
0x0074|水涟入口
0x0076|古香入口
0x0078|密阿雷入口
0x007a|娑罗入口
0x007c|海翼入口
0x007e|香薰入口
0x0080|百刻入口
0x0082|映雪入口
0x0084|闪耀洞窟
0x0086|连地洞穴
0x0087|超音蝠的巢穴
0x0088|卡洛斯发电所
0x008a|闪焰队秘密基地
0x008c|终端洞窟
0x008e|荒废旅馆
0x0090|虚空之间
0x0092|海神之穴
0x0094|朋友原野区
0x0096|火焰房间
0x0098|水房间
0x009a|钢房间
0x009c|龙房间
0x009e|光房间
0x00a0|宝可梦联盟大门
0x00a2|密阿雷车站
0x00a4|奇楠车站
0x00a6|古香水族馆
0x00a8|无名洞窟
0x00aa|未白镇
0x00ac|古辰镇
0x00ae|武斗镇
0x00b0|釜炎镇
0x00b2|秋叶镇
0x00b4|绿荫镇
0x00b6|暮水镇
0x00b8|橙华市
0x00ba|凯那市
0x00bc|紫堇市
0x00be|卡那兹市
0x00c0|茵郁市
0x00c2|水静市
0x00c4|绿岭市
0x00c6|琉璃市
0x00c8|彩幽市
0x00ca|神奇宝贝联盟
